step,wall_time_s,metric,value
32768,4.864,train/mean_reward,0.6139035224914551
65536,6.125,train/mean_reward,0.5960124731063843
98304,7.430,train/mean_reward,0.5186588764190674
131072,8.743,train/mean_reward,0.4722413122653961
163840,10.112,train/mean_reward,0.46359339356422424
196608,11.454,train/mean_reward,0.4558701515197754
229376,12.814,train/mean_reward,0.4637870490550995
229376,75.065,eval/episode_return,605.1499404907227
262144,76.418,train/mean_reward,0.5861504077911377
294912,77.773,train/mean_reward,0.4857542812824249
327680,79.107,train/mean_reward,0.3297843039035797
360448,80.549,train/mean_reward,0.24374641478061676
393216,81.972,train/mean_reward,0.22505521774291992
425984,83.388,train/mean_reward,0.20784828066825867
458752,84.762,train/mean_reward,0.21675223112106323
458752,149.708,eval/episode_return,638.1741943359375
491520,150.969,train/mean_reward,0.626412570476532
524288,152.268,train/mean_reward,0.6088602542877197
557056,153.802,train/mean_reward,0.6039309501647949
589824,155.395,train/mean_reward,0.6043492555618286
622592,156.986,train/mean_reward,0.605022668838501
655360,158.586,train/mean_reward,0.6012815237045288
688128,160.225,train/mean_reward,0.5983473062515259
688128,229.573,eval/episode_return,615.6644973754883
720896,230.893,train/mean_reward,0.6194849610328674
753664,232.399,train/mean_reward,0.569617748260498
786432,234.070,train/mean_reward,0.46308642625808716
819200,235.723,train/mean_reward,0.4459843337535858
851968,237.382,train/mean_reward,0.4249480366706848
884736,238.875,train/mean_reward,0.38349398970603943
917504,240.261,train/mean_reward,0.30695661902427673
917504,308.113,eval/episode_return,634.327522277832
950272,309.534,train/mean_reward,0.6098988652229309
983040,310.934,train/mean_reward,0.5614383816719055
1015808,312.543,train/mean_reward,0.4695284962654114
1048576,314.154,train/mean_reward,0.41608065366744995
1081344,315.562,train/mean_reward,0.39967942237854004
1114112,316.986,train/mean_reward,0.40272897481918335
1146880,318.354,train/mean_reward,0.4007929563522339
1146880,382.423,eval/episode_return,587.1627655029297
1179648,383.801,train/mean_reward,0.5760718584060669
1212416,385.376,train/mean_reward,0.45666617155075073
1245184,386.988,train/mean_reward,0.44883933663368225
1277952,388.700,train/mean_reward,0.44632405042648315
1310720,390.193,train/mean_reward,0.4566687047481537
1343488,391.830,train/mean_reward,0.46335500478744507
1376256,393.561,train/mean_reward,0.461376428604126
1376256,460.125,eval/episode_return,634.7843856811523
1409024,461.518,train/mean_reward,0.6043965816497803
1441792,462.933,train/mean_reward,0.6180922389030457
1474560,464.320,train/mean_reward,0.6314120292663574
1507328,465.688,train/mean_reward,0.6367201805114746
1540096,467.071,train/mean_reward,0.6372433304786682
1572864,468.614,train/mean_reward,0.6363449692726135
1605632,469.999,train/mean_reward,0.63740473985672
1605632,535.990,eval/episode_return,631.3996429443359
1638400,537.364,train/mean_reward,0.611549973487854
1671168,538.911,train/mean_reward,0.6261968612670898
1703936,540.384,train/mean_reward,0.6329405307769775
1736704,541.904,train/mean_reward,0.6351633071899414
1769472,543.281,train/mean_reward,0.6344071626663208
1802240,544.636,train/mean_reward,0.636734664440155
1835008,546.016,train/mean_reward,0.6350001692771912
1835008,612.824,eval/episode_return,633.553955078125
1867776,614.291,train/mean_reward,0.6184375286102295
1900544,615.637,train/mean_reward,0.6295310258865356
1933312,616.992,train/mean_reward,0.6341255903244019
1966080,618.387,train/mean_reward,0.6359989047050476
1998848,619.728,train/mean_reward,0.6347841620445251
2031616,621.224,train/mean_reward,0.6354547739028931
2064384,622.797,train/mean_reward,0.6357738375663757
2064384,693.361,eval/episode_return,636.1194229125977
2097152,694.761,train/mean_reward,0.5966606140136719
2129920,696.247,train/mean_reward,0.5885297060012817
2162688,698.045,train/mean_reward,0.6226950883865356
2195456,699.826,train/mean_reward,0.6272693276405334
2228224,701.446,train/mean_reward,0.6292086839675903
2260992,703.246,train/mean_reward,0.6330066323280334
2293760,704.954,train/mean_reward,0.6322997808456421
2293760,779.921,eval/episode_return,636.7965850830078
2326528,781.241,train/mean_reward,0.6107392311096191
2359296,782.776,train/mean_reward,0.6331299543380737
2392064,784.169,train/mean_reward,0.6364999413490295
2424832,785.668,train/mean_reward,0.6384417414665222
2457600,787.084,train/mean_reward,0.63814377784729
