step,wall_time_s,metric,value
32768,20.845,train/mean_reward,-6.724249331748045e+16
65536,41.667,train/mean_reward,-1.0960400561507391e+21
32768,60.540,train/mean_reward,-7.040722708463616e+17
32768,20.430,train/mean_reward,-9.0359669456896e+16
65536,40.795,train/mean_reward,-2.0851803370081485e+17
32768,10.303,train/mean_reward,0.5994774699211121
65536,21.099,train/mean_reward,0.5634079575538635
98304,32.403,train/mean_reward,0.44938111305236816
131072,43.599,train/mean_reward,0.3176703155040741
163840,54.604,train/mean_reward,0.23079872131347656
196608,65.591,train/mean_reward,0.1888279914855957
229376,76.732,train/mean_reward,0.16977185010910034
32768,15.426,train/mean_reward,0.5939102172851562
65536,16.768,train/mean_reward,0.571678102016449
98304,18.086,train/mean_reward,0.519597053527832
131072,19.411,train/mean_reward,0.4953901767730713
163840,20.743,train/mean_reward,0.4890592396259308
196608,22.107,train/mean_reward,0.5028750896453857
229376,23.431,train/mean_reward,0.5081112384796143
229376,92.561,eval/episode_return,611.1061477661133
262144,94.134,train/mean_reward,0.5617399215698242
294912,95.870,train/mean_reward,0.5009750127792358
327680,97.272,train/mean_reward,0.20665186643600464
360448,98.707,train/mean_reward,-0.1004595011472702
393216,100.393,train/mean_reward,-0.2376849502325058
425984,101.998,train/mean_reward,-0.3154096305370331
458752,103.378,train/mean_reward,-0.4679816663265228
458752,169.223,eval/episode_return,438.5597915649414
491520,170.550,train/mean_reward,0.5755822658538818
524288,171.926,train/mean_reward,0.4413476884365082
557056,173.403,train/mean_reward,0.42000311613082886
589824,175.068,train/mean_reward,0.4192515015602112
622592,176.784,train/mean_reward,0.41834867000579834
655360,178.185,train/mean_reward,0.4441221356391907
688128,179.800,train/mean_reward,0.449214369058609
688128,242.843,eval/episode_return,464.76710510253906
720896,244.250,train/mean_reward,0.5697239637374878
753664,245.679,train/mean_reward,0.0678393691778183
786432,247.175,train/mean_reward,-0.43247514963150024
819200,248.743,train/mean_reward,-0.6596367359161377
851968,250.209,train/mean_reward,-0.8153256773948669
884736,251.803,train/mean_reward,-0.8641294240951538
917504,253.448,train/mean_reward,-0.8688921928405762
917504,323.464,eval/episode_return,92.36609125137329
950272,324.854,train/mean_reward,0.5428556203842163
983040,326.206,train/mean_reward,0.3120390474796295
1015808,327.757,train/mean_reward,0.19672799110412598
1048576,329.475,train/mean_reward,0.1505085825920105
1081344,331.094,train/mean_reward,0.1412860006093979
1114112,332.511,train/mean_reward,0.17184452712535858
1146880,333.917,train/mean_reward,0.23913101851940155
32768,15.483,train/mean_reward,0.5939102172851562
65536,16.839,train/mean_reward,0.571678102016449
98304,18.138,train/mean_reward,0.519597053527832
131072,19.450,train/mean_reward,0.4953901767730713
163840,20.768,train/mean_reward,0.4890592396259308
196608,22.074,train/mean_reward,0.5028750896453857
229376,23.377,train/mean_reward,0.5081112384796143
229376,89.755,eval/episode_return,611.1061477661133
262144,91.038,train/mean_reward,0.5617399215698242
294912,92.388,train/mean_reward,0.5009750127792358
327680,93.714,train/mean_reward,0.20665186643600464
360448,95.122,train/mean_reward,-0.1004595011472702
393216,96.488,train/mean_reward,-0.2376849502325058
425984,97.815,train/mean_reward,-0.3154096305370331
458752,99.179,train/mean_reward,-0.4679816663265228
458752,165.386,eval/episode_return,438.5597915649414
491520,166.732,train/mean_reward,0.5755822658538818
524288,168.184,train/mean_reward,0.4413476884365082
557056,169.620,train/mean_reward,0.42000311613082886
589824,170.990,train/mean_reward,0.4192515015602112
622592,172.548,train/mean_reward,0.41834867000579834
655360,174.266,train/mean_reward,0.4441221356391907
688128,175.998,train/mean_reward,0.449214369058609
688128,238.418,eval/episode_return,464.76710510253906
720896,239.811,train/mean_reward,0.5697239637374878
753664,241.111,train/mean_reward,0.0678393691778183
786432,242.475,train/mean_reward,-0.43247514963150024
819200,243.799,train/mean_reward,-0.6596367359161377
851968,245.172,train/mean_reward,-0.8153256773948669
884736,246.621,train/mean_reward,-0.8641294240951538
917504,248.085,train/mean_reward,-0.8688921928405762
917504,320.714,eval/episode_return,92.36609125137329
950272,321.981,train/mean_reward,0.5428556203842163
983040,323.438,train/mean_reward,0.3120390474796295
1015808,325.052,train/mean_reward,0.19672799110412598
1048576,326.794,train/mean_reward,0.1505085825920105
1081344,328.347,train/mean_reward,0.1412860006093979
1114112,329.770,train/mean_reward,0.17184452712535858
1146880,331.309,train/mean_reward,0.23913101851940155
1146880,394.570,eval/episode_return,408.7864303588867
1179648,396.069,train/mean_reward,0.533676266670227
1212416,397.429,train/mean_reward,0.19653932750225067
1245184,398.743,train/mean_reward,-0.021002329885959625
1277952,400.264,train/mean_reward,-0.02954505756497383
1310720,401.591,train/mean_reward,-0.03955906257033348
1343488,403.330,train/mean_reward,-0.07145874947309494
1376256,404.829,train/mean_reward,-0.09480356425046921
1376256,471.224,eval/episode_return,380.1753234863281
1409024,472.621,train/mean_reward,0.5218848586082458
1441792,474.007,train/mean_reward,0.40493690967559814
1474560,475.331,train/mean_reward,0.42437511682510376
1507328,476.646,train/mean_reward,0.4354090690612793
1540096,478.125,train/mean_reward,0.4452613592147827
1572864,479.820,train/mean_reward,0.4552987515926361
1605632,481.483,train/mean_reward,0.4719594120979309
1605632,547.331,eval/episode_return,503.16328048706055
1638400,548.606,train/mean_reward,0.5696948766708374
1671168,550.054,train/mean_reward,0.44335633516311646
1703936,551.499,train/mean_reward,0.41422080993652344
1736704,552.970,train/mean_reward,0.4019055962562561
1769472,554.519,train/mean_reward,0.39032039046287537
1802240,556.011,train/mean_reward,0.3444916605949402
1835008,557.491,train/mean_reward,0.3259422779083252
1835008,618.808,eval/episode_return,350.29405212402344
1867776,620.157,train/mean_reward,0.5117655396461487
1900544,621.685,train/mean_reward,0.3662692606449127
1933312,623.094,train/mean_reward,0.3756549656391144
1966080,624.403,train/mean_reward,0.4206620454788208
1998848,625.981,train/mean_reward,0.406816303730011
2031616,627.373,train/mean_reward,0.40321606397628784
2064384,628.875,train/mean_reward,0.38835006952285767
2064384,694.599,eval/episode_return,-1418.177993774414
2097152,695.994,train/mean_reward,0.1641978919506073
